1492819187000[,,,,,,]//:我刚打赏了这个帖子 ¥1，也推荐给你。
1492611620000[,,,,,,]$华夏幸福(SH600340)$北京5部门联合发文：严禁产业用地改为居住使用 时间: 2017-04-194月19日，北京市规划和国土资源管理委员会，联合住房、工商、税务等4大部门发布《关于进一步加强产业项目管理的通知》。科研、工业、旅游、酒店、文化、娱乐等产业项目要遵相关规定。观点地产网讯：4月19日，北京市规划和国土资源管理委员会，联合住房、工商、税务等4大部门发布《关于进一步加强产业项目管理的通知》（市规划国土发 [2017]121号）。此后，规划用途为科研、工业、酒店、旅游、文化、娱乐等产业项目都要遵相关规定。《通知》表示，产业项目应当严格按照规划用途组织设计、开发建设及使用，未经批准不得转让和分割销售。严禁擅自改变项目规划用途作为居住使用。利用产业用地炒地炒房的投机行为将被坚决打击。具体包含以下内容：一、产业项目应当严格按照规划用途组织设计、开发建设及使用，未经批准不得转让和分割销售。严禁擅自改变项目规划用途作为居住使用。二、坚决打击利用产业用地炒地炒房的投机行为。依据土地出让合同和划拨批准用地文件核查已建在建产业项目使用情况，对于改为居住用途的产业项目，规划国土、住房城乡建设部门依法从严处罚项目建设单位，直至解除土地出让合同、撤销划拨批准文件收回土地，取消其在京取得土地的资格，并由税务等相关部门进行稽查、检查。三、产业项目（含已售再出售的）买受人应为具备相应条件的企事业单位、社会组织或个人。产业项目所在区行政主管部门或园区管理部门应结合区域产业政策要求等对买受人购买条件进行审核、出具书面意见，同时做好后续监管工作。四、严格产业用地供应管理，产业项目应符合首都功能定位、符合《北京市新增产业的禁止和限制目录》，同时属地区政府应结合区域规划落实职住平衡。其中，明确规定，城六区严禁发展高端制造业的生产加工环节、严禁新建和扩建批发市场、严禁新建和扩建区域性物流中心等项目。以协议出让方式供地的产业项目，实行市区分级管控，限定受让人资格，区政府、园区管理部门、各行业主管部门要从产业政策、产业规模、产业方案、行业要求、人口调控、区域功能定位等方面审查并确定项目主体。通过招拍挂方式取得土地的产业项目，规划国土部门要在土地出让合同中约定建筑使用功能、土地转让条件、项目单位自用自持建筑面积比例、项目用地退出的条件，严格后期监管。五、区政府、园区管理部门牵头从产业内容、产值、税收、就业、生态环保等方面定期对产业项目进行综合性评估，对于不符合本市要求的，实施产业项目退出机制。规划国土部门要定期对建筑使用功能进行核查，对违规改变为居住用途的，应及时予以纠正、查处，直至解除土地出让合同、撤销划拨批准文件收回土地。六、项目建设单位违反相关规定，由行政主管部门将处罚信息纳入本市企业信用信息系统。中介机构违规代理或以任何方式宣传产业项目的房屋可用于居住的，行政主管部门将依法注销机构备案、直至吊销营业执照。
1492611255000[,,,,,,]$华夏幸福(SH600340)$ 与民争利的政府会长久吗
1492611232000[,,,,,,]回复: 因为雄安而关注华夏幸福的，绝大多数都是短线投机者，这其中价值投资者又有几何呢？几个月，一年以后，这批人还剩下多少呢？长期来看，雄安对公司经营的影响才是更加重要的部分  //:回复:我认为，雄安的作用是把刻意低调的华夏幸福推到了台上，更多的投资者发现了他，其中有慧眼的自然会发现他的价值，那么价值回归之旅就开始了。至于雄安的炒作，本无意为之好么
1492611218000[,,,,,,]$华夏幸福(SH600340)$以人民的名义，拍摄了《人民的名义》。结果，江苏，收获了名义；湖南，获得了人民币。
1492611005000[,,,,,,]$华夏幸福(SH600340)$在独领雄安风骚好多天以后，在众多雄安信徒前赴后继以后，在国家队趁乱套现以后，在收了三根历史天量的大阴线之后。公司出了公告，说与华为战略合作了，于是众生雀跃，沉浸在一片喜气之中。不得不佩服上市公司公告的时机拿捏的真是恰到好处，再度有效鼓舞了原本就被雄安刺激的难以入眠的人们。读着公告，眼前确渐渐形成了又一个坑。这则战略合作，本质上是幸福了华为。来看看怎么回事吧。公告内容就是说，幸福和华为打算合作一起打造智慧新城，智慧楼宇，智慧园区。而幸福主营是基建及产业发展服务。华为主营很清楚，全球通信业的巨头。智慧新城也好，智慧园区也罢。这里智慧很显然是华为的蛋糕，园区或新城是幸福的主菜。常识上，一个不管是新城还是园区，从施工方案，进度掌控，资金配比等各方面来说，基建肯定是主承包方，是大头。智慧虽然重要，但是无法担任主角，只能是基建里面一个分支，属于锦上添花的作用。因此他俩的合作，作为配角的华为是占了实际的便宜，多了幸福这个大客户。而华为却并不能成为幸福获得一个新城或者园区项目的决定性因素，也就是无法为幸福的主业带来显著增量。仔细研究发现，华夏幸福的主要利润来源也并非房地产，而是高利润率的产业发展服务。这是什么业务呢，简单的说就是你给一块地，幸福来整理然后招商，拿前来落地产业的佣金，利润率超高。这和华为就更不沾边了。所以看到这里，就很清楚了。他俩的战略合作，本质是打扮了华夏，幸福了华为。你还那么兴奋吗？扯了那么多，大伙最关心的无非就是开盘怎么走的问题。既然给了个利好，价格总的有所表示，所以高开基本是确定的。只是如果真的高开，尤其是高开很多，记得要卖出。因为场内主力可不会浪费掉这个附加的出货好机会。如今缺钱的熊市里，近40元的超级大盘股，吹的再天花乱坠，也真难以引起大资金的兴趣。很多人说看好以后长线。那倒也不是不可能。几年后的牛市里，从30涨到60不也是翻番了吗，只是有几个人等的了呢。
1492610903000[,,,,,,]我认为，雄安的作用是把刻意低调的华夏幸福推到了台上，更多的投资者发现了他，其中有慧眼的自然会发现他的价值，那么价值回归之旅就开始了。至于雄安的炒作，本无意为之好么
1492610856000[,,,,,,]4/20xi*主席将出席并主持“一带一路 ”国际合作高峰论坛相关活动华夏幸福：与华为签署的为意向协议明日复牌
1492610308000[,,,,,,]手机给笔记本开了个热点连上网了我这两天赚到的利润反而比四月初的时候多，除了运气比较好以外，选股也是关键。低吸雄安股时，放弃了盘子重的几只，选择了几只轻而又特色的雄安，比如603969、300075、000652，当然之前扫的部分778心一横也割肉出局了。总的来说，从收益来看，只能说还可以，但相比于近期惨淡的行情，我对自己近期的操作还是很满意的。哈哈，还有一件好事就是昨天欧冠皇马赢了。来看盘面，今天题材还是有所反弹的，主力就是次新和雄安。先说说次新，这里次新的反弹可以说在我们的意料之中，但也仅仅是反弹，后续能不能走出行情，有待验证。次新明天关注两点，第一点就是力盛赛车的特停，这个主要还是情绪面的影响，第二点就是明天300629开班后敢不敢封第四板。想参与次新的建议还是布局近期一字板较少的开板股，套牢盘少。再说说雄安，确切的说是小盘雄安股，603969、603903、300075等明天是否强势依旧。从今天的分时图来看，雄安板块是和指数共振最强的，但只拉小盘雄安总让人觉得缺乏诚意，跟风资金不足。明天华夏幸福携华为归来，看看能不能借利好进一步激活行情。你如果有极好的格局，那就可以避开指数大的调整，如果没有，那就要靠自己的选股能力。  
1492610259000[,,,,,,]回复: 估值提升更依赖产服占比的提高，雄安的作用更多的是增加利润  //:回复:退一步讲，作为地产股，华夏最多20倍pe，有了雄安，可以30倍，40倍。这就是空间。况且下一步会利好不断。业绩也会步步高
1492610050000[,,,,,,]$华夏幸福(SH600340)$ 原来签了这么多地，政府怎么样都要补偿一下吧，也许市值给吹吹？
1492609769000[,,,,,,]$华夏幸福(SH600340)复盘会怎么样？好忐忑啊
1492609212000[,,,,,,]有的长线投资者说华夏幸福还不如没有雄安这事，慢慢涨拿的还稳当些，我不这么认为，华夏幸福现在把该澄清的都澄清了，等到雄安这阵潮水退去，就是华夏幸福不断收获雄安以及周边利好的时候，现在多跌一点最好跌到透，就当是利空出尽，以后关于雄安放个屁都是利好，而且两三年后的华夏幸福也必将把雄安的实质利好反应到业绩之中，持有一支拥有着光明未来的股票，难道不就是人生之大幸嘛  
1492609061000[,,,,,,] //@Sunrise_9: //@闲来一坐s话投资: 回复@静之徐生: 不谦虚地说：我有其中的3个：格力、白药持8年多、茅台小4年。今年它们似乎有点涨得有点太快了啊！//@静之徐生:回复@闲来一坐s话投资:中国股市26年，涨幅前五名是格力、万科、华夏幸福（2011年借壳）、茅台、云南白药。
1492608660000[,,,,,,]回复: 澄清一下，不是官方回答，是投资者线下聚会，互通有无时个人投资者提供的消息，仅供参考。股东会提问环节没有和今年销售计划相关的问题。年报显示公开销售计划1450亿。//:回复:大律师 股东大会上华夏今年销售目标是1800亿吗？
1492608547000[,,,,,,]$华夏幸福(SH600340)$ 行政无节操，监管留死鱼。随意乱停牌，重回文革时。
1492608261000[,,,,,,]这个问询说明证监会的官员们已经处在高度焦虑中，欲盖弥彰，弄巧成拙//:回复:幸福和华为签订框架公告公告，并说了两件事情：A和B。证监会问：说下A为什么是A？B为什么是B？还有C，虽然公告上没提，我意念上认为你想提，说说C吧。幸福回复：A就是A，B就是B，没有C
1492608257000[,,,,,,]意思是说，公司明天如果涨停，绝对不是我在炒作//:回复:幸福和华为签订框架公告公告，并说了两件事情：A和B。证监会问：说下A为什么是A？B为什么是B？还有C，虽然公告上没提，我意念上认为你想提，说说C吧。幸福回复：A就是A，B就是B，没有C
1492607974000[,,,,,,]逻辑上说就是这么个理。我刚打赏了这篇帖子 ¥1，也推荐给你。//:回复:幸福和华为签订框架公告公告，并说了两件事情：A和B。证监会问：说下A为什么是A？B为什么是B？还有C，虽然公告上没提，我意念上认为你想提，说说C吧。幸福回复：A就是A，B就是B，没有C
1492607883000[,,,,,,]幸福和华为签订框架公告公告，并说了两件事情：A和B。证监会问：说下A为什么是A？B为什么是B？还有C，虽然公告上没提，我意念上认为你想提，说说C吧。幸福回复：A就是A，B就是B，没有C
1492607875000[,,,,,,]本周以来，沪深两市接连低开下挫，迅速打破维持整月的区间震荡格局，股指以迅雷不及掩耳之势扭转市场预期，偏悲观的市场氛围笼罩，多空舆论激战再度活跃，一切又如往常般熟悉而相似，无惊喜，也无意外。显然，今日股指的承压下跌状态符合预期，理所应当的市场累积风险释放过程依旧延续，即使午盘抄底资金介入致使成交量能略有放大，但依旧难挡股指既已形成的剧烈跌势，盘中分时波动并无任何的解读价值，或为阴谋论股评家的话题选材，仅此而已。毫无疑问，在连日的跳空下跌之后，股指远离短期均线系统必然使其具有盘整回归的技术需求，股指跌势放缓乃至反弹回抽皆有可能，但欲图参与有限的波动差价着实需要扎实的技术功底与坚韧的心态支撑，此非凡人所为，还是避而远之，看看就好。总而言之，股市的日线级别下行趋势依旧存在，切勿火中取栗，继续轻仓或空仓观望，坐看潮起潮落，即可。   
1492607814000[,,,,,,]        华夏幸福：与华为 签署的为意向协议 明日复牌, 华夏幸福回应上交所称 , 与华为签署的为意向协议 , 不涉及具体金额 , 公司与华为公司未商定具体合作项目 , 目前无任何有关双方在雄安地区进行合作的计划、安排或协议 , 股票明日起复牌。
1492607618000[,,,,,,]白马成长股调整，我认了，前面毕竟涨了不少嘛。雄安概念股被套，我也认了，手贱嘛。你一直跌跌不休是为嘛？老子买个上证的打新门票还被套5个点，容易吗？卧槽
1492607327000[,,,,,,]导读：大多人都在死扛不止损，GJD在等他们割肉，我们在等GJD动手，就这样。老A（公众号：stockDK）每日持仓：4月19日。总仓位：3成。低仓位观察，拼耐心。PS：持仓仅供娱乐，不作为投资建议。最近给自己挖了个大坑，领养了一个出生没多久的小乳狗，结果到处拉屎拉尿，跟我斗智斗勇，几乎要耗掉我的所有耐心。好吧，本来我就没什么耐心，这次正好锻炼一下我的耐心。现在，大盘就是比耐心的时候。不出所料，大盘今天再次破位杀跌，失守了120日线，也就是俗称的半年线，之后更是一泻千里。今天敢抄底的人多半是之前被套的人。昨天老A也提到了，现在行情的特征是只要涨就不停，直到GJD出手打压；只要跌就不止，直到GJD出手托盘。涨跌之间拼的技术？当然不是，拼是绝对是耐心，你要比GJD更有耐心才行。GJD有钱有政策还有舆论支持，小散就应该顺其自然，跟着GJD的节奏走，别硬顶。不说5000点清配资，3301点两次“人工顶”就再明白不过了。别跟GJD死扛，绝对是真心话。最近，金融领域反腐和监管力度都特别大，保监会前老大项俊波就被拿下了，证监会刘士余率谈加强监管，银监会换了郭树清之后更是雷厉风行。从3月28日开始，银监会陆续出台了4号文、5号文、7号文等多个文件、摸底银行委外、打击监管套利、同业存单考核等等，这半个月“疾风骤雨”的动作动静开始大了，特别是市场的风险偏好开始发生变化。这对市场有没有影响？不要问我，市场已经给出了答案。股市自不必说，商品已经跌的不像话了。铁矿石都跌了整整一个月了，其他品种也好不到哪里去。跟这些“重伤员”比，A股意外的还算好的，比惨大会比出了点幸福感。这有点阿Q精神了。最近流行一个词儿，叫穿透式监管。官方的定义有点拗口，穿透式监管就是透过金融产品的表面形态，看清金融业务和行为的实质，将资金来源、中间环节与最终投向穿透连接起来，按照“实质重于形式”的原则甄别金融业务和行为的性质，根据产品功能、业务性质和法律属性明确监管主体和适用规则，对金融机构的业务和行为实施全流程监管。老A的理解就是我不问你借钱的理由，我直接看你借钱之后去干了什么。如果你借钱之后表面上说买车买房，实际上倒腾了几圈去炒股炒期货，那么对不起，要怼你。被拎出来树典型的是宝能举牌万科。以宝能系杠杆收购万科股份为例，举牌用的资金大多来自自有资金、保险资金、银行理财资金和券商资金等多种渠道，而且还用了多重杠杆。险资举牌嘛！看上去似乎是符合当时的监管规定。但是仔细分析，又觉得那里不对劲。如果将钜盛华、前海人寿和一些关联方的资金来源穿透来看，所用资金来源非常复杂，杠杆加的太猛，把监管层都搞蒙了，至少可以肯定的是大多数不是姚振华自己的钱。以金融圈的尿性，倒腾点钱炒股炒楼炒期货是很正常的，票据窝案屡见不鲜，去年出了个国海证券萝卜章，最近民生银行也说章是萝卜刻的，听说涉及金额还不小。老A在市场上见多了，动嘴的监管影响就屁那么大，动手的监管就有点辣了。这次不仅是股市调整看着不像动嘴的监管，尤其是股期联动，动静不小。列一下其他消息：国常会：推出进一步减税措施 增值税税率减至三档；环保部：廊坊市大城县渗坑污染问题基本属实；长征七号遥二运载火箭开始加注推进剂 天舟一号货运飞船进入临射状态；万科30亿元入股链家；华夏幸福拟与华为战略合作 上交所询问是否涉及雄安新区。分析一下，环保今天大涨是有原因的，廊坊那个渗坑污染网上传的图有点渗人。上交所这么问华夏幸福，有点怪怪的，感觉像互动平台上推票的游资。总结一下吧！今天又差不多是普跌了。虽然尾盘拉了下，但是基本上也难掩一天的颓势。再说创业板的这种回马枪式的反弹，感觉像被套的人集体补仓造成的，难掩乐观。PS：乐观两个字长的这么像乐视，差点看走眼。老A以为，技术上，沪指已经破位了，特别是今天跳空缺口正好处于3200点附近，又重合了120日线，有点跌穿了一层地板的感觉。而GJD也没有动手托市的迹象，成交量也没有明显放大，大多人都在死扛不止损，GJD在等他们割肉，我们在等GJD动手，就这样。策略：不要问我底在哪里，什么时候见底。这两个问题只有GJD能回答，我只看成交量，或者GJD的票走强了。
1492607118000[,,,,,,]【：明日起复牌】华夏幸福回应上交所称，与华为签署的为意向协议，不涉及具体金额，公司与华为公司未商定具体合作项目，目前无任何有关双方在雄安地区进行合作的计划、安排或协议，股票明日起复牌。
1492606942000[,,,,,,]$华夏幸福(SH600340)$ 市场机制全无，重回计划时代，我正在听蔡依林的《倒带》！
1492606717000[,,,,,,]沪深两市早盘低开，随后沪指持续探底，一度跌逾1%。下午受雄安新区概念大涨的影响，沪指及创业板发起一波反弹。截止收盘，从盘面上看，次新股、环保、银行居板块涨幅榜前列，煤炭、钢铁、水泥居板块跌幅榜前列。分析看点今天雄安新区概念超跌反弹，触底反弹带动市场做多情绪明显。泰达股份、博天环境、中持股份、银龙股份涨停，数字政通涨9.04%，其他个股均有不同程度上涨。次新股是今天率先反弹的板块，关监管消息对市场情绪影响有所淡化，次新板块之前下跌又快又猛，环保板块受“水污染防治专项资金发放将与绩效评价挂钩”消息影响，德创环保、博天环境、联创环保等3股涨停，20只股红盘。有件搞笑的事情给大伙儿乐一乐，新华网前天晚上高调公布10送10转5，马上就被要求停牌核查！这下新华网怒了，在官媒上直接怼了回去，用四个有利于回复上交所的问询函，掷地有声！之前所有的上市公司基本都会认怂，上一个敢和交易所互怼的叫鲜言，就是慧球科技和匹凸匹的控制人，他的结局是被罚34.7亿元，并实行终身禁入。不过这一次是新华网，背景硬底气足，大股东是国务院直属机构，跟证监会平级，老子就是高送转了怎么样？今天新华网大涨逾7%，直接提振了高送转。所以说，管理层也是欺软怕硬，盯着中小票怼，只要把中小创的资金赶进大蓝筹，才是他们的目的吧，大家一起买茅台，搞上1000元，才符合价值投资！操作建议老周说过雄安稳，大盘才会稳，早盘A股出现了跳空低开下行的态势，最后一波做空势力明显强弩之末，随着指数到达3150点一线，明显有活跃的抄底资金进场，市场人气有所复苏，带领大盘走出金针探底。昨天的【老周看盘】已经提示大家早盘如出现急跌可补仓抄底，目前大盘情绪面非常差，整个市场被管理层搅的没人敢做多，人气涣散，大资金索性清仓休息，这种小型股灾老周觉得完全就是人为的，管理层一手造成的结果，虽然咱也拿他们没办法，可悲。4天连续较大幅度下跌，风险已经释放的差不多了，明后天应该会收阳了，如果可以顺势回补第一个缺口，那么下半月给大家回回血还是可以期待期待的。股票池跌的最凶的一定会是反弹最凶的。如博文对你有帮助，欢迎转发或分享。您的鼓励就是我最大动力   
1492605434000[,,,,,,]各位股友，大家好！昨天老杨的心情一点也不美好，担心各位股友没有听老杨劝，被套进去吗，动弹不得，因为昨天大盘终于跌破了3200点，这个位置的关键性不言而喻，相信各位股友都应该知道，（实在不理解的，单独找我），3200一线是一个周期性的强支撑，即便是周一的暴跌，这个位置也是非常稳健的，但是昨天早上坚守了一阵之后，尾盘还是没有遏制住这种恐慌，直接砸盘，最后锁死在3196的位置一动不动，整个市场，一地鸡毛。最终，日K线遭遇三连阴。然而就在一周前，各路资金都还在摩拳擦掌准备拿下3300点后大干一场的时候，沪指今天居然就已退守至3200点之下了，市场在监管高压之下真可谓是一夜入冬。今日沪指并未反弹补缺，而是掉头直线向下跌破60日均线，对于今天的走势，120天均线也就是3191点附近将受到严峻的挑战，目前市场疲弱一览无余。虽然主力试图在盘中通过拉升一些“中”字头股票来稳定指数，可无奈大势已去，人心尽散。成交量继续萎缩，二市合计成交4677亿元，行业板块普跌，酿酒、家电、医药等少量防守性板块相对抗跌。分析原因，其实也不难，首先，大盘节节败退；再者：贵州茅台（600519）昨日大涨2.24%，再度创出历史新高，盘中最高攀升至406.55点，收盘站稳400元整数大关。然而，这一切在老杨看来，其实并不是什么好现象，这种防御性的板块走强更多的是机构避险资金抱团取暖的现象，而代价就是其它板块的绵绵阴跌。这次监管层是下了巨大决心要好好整顿市场了，监管强度短期内是不会下降了。所以，后期如果出现反弹，给到大家机会，及时撤退，不要抱有侥幸心理！老杨在此提示大家：本周操作：1.及时落袋为安，不要把盈利期望值定得太高；2.不做死空头，也不做死多头，而是要做股市滑头，跌多了出手买点，涨多了及时卖点；3.整体仓位控制好，不要动不动就全仓押宝一只股；4.跟随大资金，没有资金活动，股价连续缩量下跌的票要谨慎对待。 现阶段大盘的技术走势是不容乐观的，在技术面走好之前，老杨还是建议大家以防守为主，偶尔打个反击，但也要记得快进快出。品种的话还是要围绕业绩找“白马”，选取一些调整充分而且已经企稳，并有一定业绩支撑的个股。我们看到自2016年6月29日沪指重新站上120天均线以来，指数并未真正有效跌穿过这条重要的牛熊分界线。所以，这个位置的支撑相信还是比较有力度的，昨天成交量的萎缩也说明空方的势能在减弱。 在这个位置老杨认为市场将有一定力度的反弹，即使要跌破，也会有一番争夺和反复。正所谓不破不立，主力在这里做空头陷阱的概率也是不小，一旦跌破反而可以伺机搏一些短线反弹机会。 老杨认为：今天如果回踩至半年线附近，仓位轻的朋友可以小仓博个反弹。而仓位较重的朋友也不要盲目恐慌杀跌，可以考虑等大盘反弹之后再减仓或调仓换股。反弹目标老杨先看到上方缺口处，也就是3238点附近，届时反弹的量能力度将决定最终大盘反弹的高度。 未来一周的行情都不会太好，老杨判断，大盘       将开启一个强震荡过程，在这个过程中即便是小幅的反抽也不值得操作，不排除有诱多的可能性，整个市场的萎靡不会因为一两日的反抽而改变方向。反观，刘主席一系列的措施起了成效，监管措施倒逼着资金，引导资金买蓝筹，这一招很高明，今天开始，国企、央企差不多要开始动了，这个位置大盘要选择方向，我们一样要选择方向！所以老K建议，未来一周不要操作，该轻仓的轻仓，不要盲目操作，不做就不错。老杨希望粉丝们在接下来的行情里都能多多赚钱，据说给老杨点个ZAN更容易买到涨停板噢，如果喜欢老杨文章的话可以分享给你的朋友们哈，创作不易，谢谢大家。
1492605333000[,,,,,,]$华夏幸福(SH600340)$
1492605019000[,,,,,,]棕榈生态去年利润同比增157%，今年上半年预报7860~10500万元，同比增长50-100%。借由行业持续的高景气度和公司并购贝尔高林国际(香港)后的顺利拓展转型，今年利润高增长仍然可期！这还是在暂时不包含雄安新区白洋淀生态绿化合同强刺激的条件下！ 、 、 ，华夏幸福、渤海股份、数字政通
1492604677000[,,,,,,]$华夏幸福(SH600340)不发公告，难道明天还停
1492603702000[,,,,,,]$华夏幸福(SH600340)$华为公司在华北地区建立第二个大型基地，是比较有可能的。首先，这符合公司扩张的战略路径规划：由早期的大型通讯设备提供商，到主流通讯业务提供商，再扩展到现在的智慧业务和服务提供商。这就完全抓住了国际发展前沿趋势，又符合我国国家城市发展战略，更与此次雄安建区的主题一致。华为公司，是国际上唯一的最有资格，有实力，能够超预期完成雄安智慧城市千年大计的公司。如果说华夏幸福与国内其他公司战略合作，搞智慧城市，那折扣和风险要满满地计算上。其次，许勤代省长，在深圳做市长期间，为挽留华为不迁移，与华为总裁办不知做了多少次深入沟通，华为还是在东莞松山湖建立了基地。现在，曾经的深圳市长和现在的河北代省长，非常了解华为的需求，也一定会用足雄安的招商引资政策。许省长能不清楚，把华为一个重要基地落户到雄安的意义吗。何况，这又符合华为自身的战略路径。何乐而不为！@txcbg:传：华为公司委托华夏幸福在雄安新区建设华为国际软件工业园区及配套员工生活区，预计建设员工住宅5000套，每套平均面积170平方米，每套预计资金340万元，其中170万元作为公司激励资金补贴员工，员工住宅投资共计170亿，工业园区投资1000亿，全部委托华夏幸福开发，时限3年！
1492602611000[,,,,,,]$华夏幸福(SH600340)$这个时候还不发公告。
1492602528000[,,,,,,]$刘九的飞龙实盘(SP1012511)$@刘大公子 前几天减仓格力等几支深圳股票是平衡两市仓位的需要，原则出多头排列的股票不卖，除非上升角度陡峭例如上周清仓的华夏幸福或高位大阴; 空头排列的股票不买。
1492602140000[,,,,,,]回复: 不太靠谱，首先华为在雄安有这么大的工业园吗？其次，雄安的房价什么时候到2万了，还是自建房？不要相信谣言，等公司公告吧。//:回复:传：华为公司委托华夏幸福在雄安新区建设华为国际软件工业园区及配套员工生活区，预计建设员工住宅5000套，每套平均面积170平方米，每套预计资金340万元，其中170万元作为公司激励资金补贴员工，员工住宅投资共计170亿，工业园区投资1000亿，全部委托华夏幸福开发，时限3年！
1492601843000[,,,,,,]刘屎余的屎已经遍布A股了，华夏幸福发个战略合作的gi。公告也立马被证监会问询，以后不但散户不想玩了，上市公司估计也会被刘屎余死亡缠绕的想退市，董秘的工作量急剧上升。//:回复:证监会表示，我最喜欢看你们看不惯又无可奈何的样子。新股必须降温！！！特停没有标准！！有本事别玩
1492601595000[,,,,,,]$华夏幸福(SH600340)$ 我只想说 有病吧上海证券交易所上证公函【2017】0434号关于对华夏幸福基业股份有限公司签署战略合作协议事项的问询函华夏幸福基业股份有限公司：4月19日，你公司披露《关于拟与华为技术有限公司签署战略合作协议的公告》，称双方拟在全球范围内就公司开发承建的产业新城、产业小镇、城市综合体、公司办公信息化建设进行全方位合作。经事后审核，现有如下问题需要你公司作进一步说明和补充披露。1、请公司说明与华为技术有限公司的合作是否有明确金额，前期双方是否已有合作项目、是否有拟合作项目、是否已有技术团队合作。2、协议中提及双方拟在全球范围内就公司开发的产业新城、产业小镇进行合作，请公司说明目前境外产业新城的开发情况，并明确与华为技术有限公司开展合作的区域。3、请公司说明相关合作是否涉及雄安地区的业务安排，如不涉及，请公司就此进行重点提示。请你公司于2017年4月20日之前，以书面形式回复我部。                                上海证券交易所上市公司监管一部                                        二〇一七年四月十九日
1492601364000[,,,,,,]【 拟与华为战略合作，上交所询问是否涉及雄安新区】公司拟与华为合作涉及双方在全球范围内就本公司开发承建的产业新城、产业小镇、城市综合体、公司办公信息化建设进行全方位合作。对此，上交所发布问询函，要求公司说明相关合作是否涉及雄安地区的业务安排。说明协议中提及双方拟在全球范围内就公司开发的产业新城、产业小镇进行合作，请公司说明目前境外产业新城的开发情况，并明确与华为技术有限公司开展合作的区域。
1492601339000[,,,,,,]$兴业银行(SH601166)$  对兴业管理层不满的是他们对公司股价太漠不关心，年初华夏幸福大跌时公司立即发布业绩预增公告，止住了跌势。可兴业直到现在都默不作声，既不发布对当前市场传言的解释，也不提前发布业绩快报，硬等4月29日的年报季报预定公布日，太官僚主义了，在这方面国营跟民营的管理者还是有差距。
1492601256000[,,,,,,]$华夏幸福(SH600340)$本来投资华夏，也不是提前知道了千年大计。看中的是她的商业模式和广阔前景。30%~40%年利润增长，给到15~20倍估值的话，市值应多少钱！因此，予计到了48会开板没卖，但架不住同事鼓捣鼓捣，46.5卖了30%，又在40元接回一半
1492600955000[,,,,,,]$兴业银行(SH601166)$ 当基本面不错的股票跌的让你开始怀疑人生的时候，还是要坚定信心咬牙挺住，即便不敢加仓但也不要轻易斩仓。去年底买的华夏幸福、碧水源都是跌的让人怀疑人生，都是咬牙加仓，结果今年收获甚丰。相信兴业也是如此，毕竟股市中大风大浪都经常发生，应该有钢铁般意志坚定信念和方向而不是随波逐流。
1492600858000[,,,,,,]$华夏幸福(SH600340)$短期不看了，但可以肯定的是48元肯定不是顶，今年最迟17年年报出来前肯定会破的。业绩摆在那儿，即使没有千年大计
1492600444000[,,,,,,]$华夏幸福(SH600340)$ 金隅股份北京国有资本管理中心39.15% HKSCC NOMINEES 24.66%   合起来63.81%其他占有36.19%流通股81.45亿*36.19%=29.48亿股就是说金隅股份减去两个大股东持有的股份，二级市场流通股只有36.19%，即29.48亿股4月5日涨停第一天5.13元/股，封单最高达到3055万手，即30亿股摆明要吃掉所有流通股的架势，刘主席能不发飙吗？
1492600205000[,,,,,,]$兴业银行(SH601166)$  本人仓位应该反思的是，银行板块尤其兴业占比重太大，结果导致对整体账户拖累太大。大幅飙升的华夏幸福、碧水源都基本被兴业的下跌给抵消了。对银行、房地产这类受政策影响大的行业还是不能仓位过重，否则很被动，低位回补都没有弹药。最后悔的是中途卖掉了格力和海康威视甚至建行都买了看似最低估的兴业，没想到政策的打击会这么大。@邢台草帽
1492600030000[,,,,,,]华夏不可能排除雄安的业务，这是逼着华夏说：自己是最正宗的雄安新城服务商了！ 
1492599571000[,,,,,,]$华夏幸福(SH600340)$  搞了半天不会是这个东西吧？http://www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8129260712986131.doc上海证券交易所上证公函【2017】0434号 关于对华夏幸福基业股份有限公司签署战略合作协议事项的问询函华夏幸福基业股份有限公司：4月19日，你公司披露《关于拟与华为技术有限公司签署战略合作协议的公告》，称双方拟在全球范围内就公司开发承建的产业新城、产业小镇、城市综合体、公司办公信息化建设进行全方位合作。经事后审核，现有如下问题需要你公司作进一步说明和补充披露。1、请公司说明与华为技术有限公司的合作是否有明确金额，前期双方是否已有合作项目、是否有拟合作项目、是否已有技术团队合作。2、协议中提及双方拟在全球范围内就公司开发的产业新城、产业小镇进行合作，请公司说明目前境外产业新城的开发情况，并明确与华为技术有限公司开展合作的区域。3、请公司说明相关合作是否涉及雄安地区的业务安排，如不涉及，请公司就此进行重点提示。请你公司于2017年4月20日之前，以书面形式回复我部。                                                     上海证券交易所上市公司监管一部                                                          二〇一七年四月十九日
