1492814400000[,,,,,,]分得这么少，套路却不少，中国建筑你行。
1492000247000[,,,,,,]$中国建筑(SH601668)$ 果然是隐藏了好多净利润，看一下第四季度扣非前后就知道了。不过今年的分红确实不太理想，分红率没跟上
1492000195000[,,,,,,]$中国建筑(SH601668)$10股分红2.15，没有想象中的大分红
1491999927000[,,,,,,]$中国建筑(SH601668)$ 不到300亿，PE大于10了 。这个无关紧要，主要看第一季度。
1491999863000[,,,,,,]$中国建筑(SH601668)$分红不理想
1491999684000[,,,,,,]不是吧，那些融资搞中国建筑的，又是你前海人寿啊，你可真牛逼，
1491999467000[,,,,,,]【 ：2016年净利近300亿 前海人寿四季度买入5.69亿股】中国建筑披露年报，公司实现2016年营收9597.65亿，净利298.7亿，分别同比增长9%、14.6%；基本每股收益0.96元，拟每10股派息2.15元（含税）。股东名单方面，安邦资产旗下共赢3号于二次举牌中国建筑后，未于2016年继续购入公司股份；但旗下盛世精选3号四季度购入1.71亿股。前海人寿旗下海利年年于四季度购入5.69亿股，持股比例1.9%，列第三大股东。
1491999439000[,,,,,,]$中国建筑(SH601668)$要是中建连板五个还会停牌吗？
1491999249000[,,,,,,]从经验讨论和分析看中国建筑提质增效还是非常明显。  
1491999051000[,,,,,,]刷停牌看到中国建筑全年营收近一万亿。大象真的是大象，不得不服!
1491997018000[,,,,,,] 今晚发布了冀东水泥、中化岩土、河北宣工多家雄安一线概念股的停牌公告，但很明显雄安股的炒作行情还没退，那么未入情的资金大概念会选择雄安间接受益的概念股进行炒作，比如说中国建筑
1491994696000[,,,,,,]$中国建筑(SH601668)$ 晚上做点功课？
1491994693000[,,,,,,]$中国建筑(SH601668)$ 下午没时间看股市刚才发现被砸的稀里哗啦   还好半仓中国建筑基本没啥影响。今天有几点思考：1.信息很重要 哪怕再小。(ↂ⃙⃙⃚⃛_ↂ⃙⃙⃚⃛₎嗯!前两天看到港澳啥的也没在意 暂时还没去搞清楚什么鬼 据说是个雄安争宠的二妃？闲着没事看到了很早时候完全由于名字独特加入模拟的招商蛇口。 这个涨幅以前真没注意过吓一跳…错过蛛丝马迹就是错过机会。2.中长稳妥和超短刺激的抉择？( ´◔ ‸◔')哼。鉴定持有做t的中国建筑近期引入的天坛生物算是中长新的尝试吧。注：附图实仓仅剩中建。
1491994661000[,,,,,,]$中国建筑(SH601668)$几天没看，还在10.2附近打转。
1491994027000[,,,,,,] 鲲鹏展翅1问西部建设(002302) : 贵公司进军国际市场的情况还顺利么？2017-04-12 14:51:54西部建设(002302)  回答 鲲鹏展翅1 :  您好，感谢对公司的关注。目前，公司海外业务稳步发展。阿尔及利亚厂、马来西亚厂分别生产混凝土8万方、18万方，正式签订马来西亚公主湾项目合同，取得项目混凝土总包权；巴基斯坦PKM高速公路项目已拟定双方合作协议，“走出去”战略取得进展。谢谢！2017-04-12  15:02:07大象上的蚊子问西部建设(002302) : 你们西部建设计划2017年市场拓展的重点区域有哪些呢？请具体介绍一下吧。2017-04-12 14:53:35西部建设(002302)  回答 大象上的蚊子 :  您好，感谢对公司的关注。2017年市场拓展目标：2017年新区域签约量要突破2900万方，占比要达到40%。新疆公司要把“到十三五末，疆内、疆外市场占比实现三七开”为目标，重点关注济南市场；西南公司力争实现每个新区域（重庆、云南、广西）产量200万方的阶段性目标；湖南公司做大海南市场；贵州公司做实广东区域，加快自有厂站落地。海外业务上，  2017年力争实现营业收入0.6亿元，重点聚焦中亚五国，巴基斯坦、阿尔及利亚等亚非市场，印度尼西亚雅加达项目等东南亚市场。谢谢！孟柳永637问西部建设(002302) : 感觉西部建设重组之后扩张速度还是很迅速的，请问新拓展的区域发展情况如何？2017-04-12 15:01:03西部建设(002302)  回答 孟柳永637 :  您好，感谢对公司的关注。2016年，公司新区域完成签约额62.8亿元，同比增长20%，占公司签约总额的34%，实现销售额33.2亿元，同比增长41.1%，占公司销售总额的29%，支撑增长、贡献规模作用更加凸显。河南区域继续保持高速增长态势，营业收入同比增长103.31%；山东青岛区域完成“环湾环城”布局，预拌厂增至7个，在较短时间内取得生产资质；福建区域在福州、泉州各获得一个生产资质，基础设施签约占比38.7%；江西区域新投产2个厂,形成三厂环城布局，营业收入同比增长3,499.86%；山西区域营业收入同比增长45.89%；重庆区域形成六厂环城布局，营业收入同比增长82.09%；云南区域新投产2个预拌厂，营业收入同比增长72.3%；广西区域南宁高新厂成为国内少有的入驻国家级高新区的预拌厂，营业收入同比增长357.38%；海南区域进驻儋州市场；成功挺进广东区域，首次进入华南市场。谢谢！2017-04-12  15:11:22股里股外4444问西部建设(002302) : 我一直很关注你们西部建设的，想问问公司建筑工业化进展现在是什么程度了？2017-04-12 14:54:15西部建设(002302)  回答 股里股外4444 :  您好，感谢对公司的关注。公司已经在福建、四川、湖南和河南四个区域通过参股方式进入了建筑工业化领域。2016年，福州、长沙、成都三个项目已经投产，全年累计承接项目额4.5亿元，累计实现销售额4,298万元，郑州项目正在建设中，争取今年投产运营。同时，还有其他项目在推进中。谢谢！老鹰11问西部建设(002302) : 公司一直在说转型升级，请问到底是往哪几个方面转呢？2017-04-12 15:09:06西部建设(002302)  回答 老鹰11 :  您好，感谢对公司的关注。公司转型升级的方向是以下四个方面：首先，在市场布局上，往新区域方面转型，往海外业务方面转型。其次，在客户结构上，往大客户方面转型。第三，在业务结构上，往基础设施业务方面转型。最后，在产业结构上，往多元化业务方面转型。谢谢！2017-04-12  15:21:17股海翻腾oo问西部建设(002302) : 郑总您好，我想问问今年您对价格和销量的预期是怎样的？2017-04-12 15:13:01西部建设(002302)  回答 股海翻腾oo :  您好，感谢对公司的关注。混凝土行业竞争激烈的整体形势还将继续，原材料涨价的趋势已经形成。2017年，公司将根据“十三五”  规划部署，坚持稳中求进，提升发展质量，强力推进区域化、精细化、结构转型，突出抓好盈利能力提升等工作。谢谢！2017-04-12  15:38:23一路北风问西部建设(002302) : 贵公司在河北省迁安市有子公司，请问销售情况如何2017-04-12 15:24:37西部建设(002302)  回答 一路北风 :  您好，感谢对公司的关注。公司在河北省迁安市注册成立了全资子公司河北中建西部建设再生资源利用有限公司，经营范围为：非金属废料和碎屑加工处理，建筑材料的生产及销售；普通货运、仓储服务。公司2016年实现营业收入51.10万元。谢谢！  天鸟天鸟禾报问西部建设(002302) : 请问公司在全国的网点布局的情况？2017-04-12 15:07:40西部建设(002302)  回答 天鸟天鸟禾报 :  您好，感谢对公司的关注。谢谢！  2017-04-12 15:50:41菜鸟1113问西部建设(002302) : 中央设立雄安新区千年大计，很多央企都表了态，作为混泥土搅拌优秀企业，请问公司在雄安是什么规划？2017-04-12 15:23:49西部建设(002302)  回答 菜鸟1113 :  您好，感谢对公司的关注。公司在河北省迁安市注册成立了全资子公司河北中建西部建设再生资源利用有限公司，经营范围为：非金属废料和碎屑加工处理，建筑材料的生产及销售；普通货运、仓储服务。公司将紧跟战略导向，紧抓机遇，积极开展相关业务。谢谢！2017-04-12  16:16:09沙漠绿洲问西部建设(002302) : 请领导谈谈未来公司业务的市场容量，谢谢！2017-04-12 15:13:58西部建设(002302)  回答 沙漠绿洲 :  您好，感谢对公司的关注。商品混凝土的市场容量依然很大，体现在两个方面：第一，商品混凝土产量趋稳，行业集中度不高。据中国混凝土网统计，2015年我国商品混凝土总产量为22.23亿立方米，较上一年同比下滑6.24%，是有史以来的首次负增长。2015年国内十强混凝土企业总产量占全国混凝土总产量比例为7.94%，占比连续三年下滑（2013年约9%，2014年8.62%）。根据水泥行业过去10年行业集中度不断提升的经验，混凝土行业的集中度有待提升。第二，公司产量占比持续提升。根据中国混凝土网的统计资料，   2014年公司混凝土销量排全国第二，约占全国总量的1.32%；2015年，公司混凝土产量占占全国总量的比例提升至1.46%。公司在未来行业集中度提升的过程中，业务市场容量依然很大。谢谢！  2017-04-12 16:21:49131****0457问西部建设(002302) : 請問中國建築為本公司主要股東之一，在業務上有否合作計劃達致互惠双赢？2017-04-12 15:56:20西部建设(002302)  回答 131****0457 :  您好，感谢对公司的关注！中国建筑总公司是公司的实际控制人,对公司在市场、人才、资金、技术等方面给以全方位的支持，关联方销售占年度销售总额为48.38%，同时，在建筑工业化、资源利用、砂石骨料等多元化业务方面有关联投资，在资金借贷等方面有关联交易。所有关联交易均不影响公司的独立性，并且关联交易均按照市场原则保证公平公正。谢谢！2017-04-12  16:22:56进一言问西部建设(002302) : 中国建筑的关联交易是否对公司独立性造成影响？请独立董事回答一下吧，谢谢！2017-04-12 15:32:03西部建设(002302)  回答 进一言 :  您好，感谢对公司的关注，但是公司与中国建筑的关联交易不影响公司的独立性：公司与关联方在业务、人员、资产、财务、机构方面做到了五分开、五独立，且公司还拥有一大批非关联优质客户，不存在对关联方的依赖性；公司的混凝土品通过中国建筑集采平台进行公开招投标，公司和其他混凝土供应商公平竞争，比资比价，中国建筑根据招投标结果择优签订合同。所以就独立性而言，目前大家是不需要担心的，谢谢！2017-04-12  16:26:10简凡问西部建设(002302) : 咱们西部建设是一带一路龙头企业，请林总谈谈新疆基建给公司带来的机遇。2017-04-12 15:31:20西部建设(002302)  回答 简凡 :  您好，感谢对公司的关注。当前“一带一路”等振兴战略深入实施，新疆作为丝绸之路经济带核心区正在加快建设，与周边国家、周边省区的友好合作正在深入发展。以新疆为基点、面向中亚的自由贸易园区推动建立，桥头堡效应逐渐扩大，成为联通中亚、南亚、中东、东欧等国家的大通道。国内部分产业逐渐向中西部梯度转移，新一轮对口援疆工作纵深推进，系列利好政策将推动疆内经济快速发展，混凝土需求量应当保持在一定水平。谢谢！2017-04-12  16:29:43烟台齐鲁证券问西部建设(002302) : 经济下行背景下对混凝土的需求量是否有影响？2017-04-12 15:36:41西部建设(002302)  回答 烟台齐鲁证券 :  您好，感谢对公司的关注。2017年公司将面临的挑战很多，比如环保要求趋严、原材料价格上涨、多变的房地产政策等。但机遇也是并存的，如基建投资力度加大、“一带一路”项目落地、供给侧改革等。   按照混凝土协会的统计数据，全国的混凝土产量在2015年首次出现负增长，总量约22.23亿方，2016年的最终统计数据还没有公布，估计是基本持平，我们预计2017年的混凝土需求总量不会有大的波动，还会保持在20多亿方的水平。谢谢！2017-04-12  16:38:25大中里DAZL问西部建设(002302) : 去年西南地区大幅增长，原因是什么，请财务总监回答一下吧，谢谢。2017-04-12 15:38:27西部建设(002302)  回答 大中里DAZL :  您好，感谢对公司的关注。谢谢！2017-04-12  16:41:43研究问西部建设(002302) : 您好，我想了解一下公司未来的发展规划，谢谢。2017-04-12 15:41:35西部建设(002302)  回答 研究 :  您好，感谢对公司的关注。公司将践行“拓展幸福空间”的使命，落实“一二三四五六”战略，即实现“成为预拌混凝土工程与材料领域卓越的综合服务商”的愿景，达到“；通过‘提质增效、转型升级’，努力实现‘两领三最’”的两大目标，聚焦“预拌混凝土业务、支撑业务、新业务”三大业务板块，着力打造“预拌混凝土产业、相关原材料产业、资源综合利用产业、混凝土制品与工程构件产业”四条产业线，深化“区域化、精细化、专业化、资本化、国际化”的五化发展策略，采取“优化组织管控、加强党的建设、扩展市场渠道、加大科技创新、提升品牌价值、激发人才活力”六大主要保障措施，顺应市场变化，不断提升管理水平，打造核心竞争力，真正为顾客、员工、股东、合作伙伴等利益相关者创造价值，开创更加宏伟壮丽的十三五蓝图。谢谢！2017-04-12  16:42:59jared大黄问西部建设(002302) : 请问，截至3.31日，公司的股东人数是多少？2017-04-12 16:43:03西部建设(002302) 回答 jared大黄 : 您好，感谢对公司的关注。截至2017年3月31日，公司股东户数为79,390户。谢谢！2017-04-12 16:44:40史法2011问西部建设(002302) : 林总您应该对新疆比较熟悉吧，您对新疆区域发展的前景如何看待呢？谢谢2017-04-12 15:42:52西部建设(002302)  回答 史法2011 :  您好，感谢对公司的关注。首先，我认为新疆的社会局势依然存在不稳定因素，对新疆经济发展有所影响。因此维护社会稳定，实现长治久安，目前已成为自治区政府的总目标、总要求。其次，区域经济发展不平衡。2016年从全疆14个地州市的经济总量看，新疆各区域经济发展水平存在较大差异，区域经济发展不平衡，但是乌鲁木齐市经济总量仍稳居全疆第一。第三，新疆地区的投资发展劲头比较足。作为“一带一路”战略落地核心发展区域，自治区政府围绕“五大中心”、“三基地一通道”和“十大进出口产业集聚区”建设，实施一批重大基础设施项目，刺激更多的投资需求，新疆建筑业将呈现以大型基础设施为新生增长动能的转型升级，建筑业整体呈现稳中向好的发展态势。谢谢！2017-04-12  16:48:30
1491993900000[,,,,,,]华夏幸福河钢股份荣盛发展新兴铸管中国建筑招商蛇口庞大集团棕榈股份廊坊发展保变电气以上股票今天交易金额最高，更多分析在这里
1491992452000[,,,,,,]【交易我的计划，计划我的交易】昨天一片红艳艳之后，很多人都认为今天大盘会继续向上冲，但是呢，事实是用来打脸的！现在买了股票之后，还是会忍不住的【幻想】股票的走势，明明知道这一切都是不可能的，却还是希望事情朝着自己希望的结果前进，以致每次幻想每次打脸。这种过程，被打脸也是挺爽的，总是在被打脸后找原因。今天全天，收益震荡，最高4000多，最后收盘盈利190元。下面说说具体情况和一些思考。现在晚上回去，会看一些投资分析，和以前纯粹看荐股不一样了，算是提升。看了唐朝的文章后，自己有了很多想法，但是知识太匮乏了，需要系统读几本简单易懂的书籍，慢慢建立自己的交易系统。要不每天的思考，都是围绕着别人所写，实则没有自己的产出。1、珠港澳湾区这是昨天突然拔地而起的新兴力量，之前一直关注的【格力地产】没有勇敢买入，最后入手【香江控股】。今天早盘就果断在涨停卖出【香江控股】，买入质地更好的【珠江实业】。湾区最优质的【珠海港】早盘死死封住，没有松动，但是格力地产后续松动，赶紧调集资金入手格力地产，挂涨停买入成长。目前这两支占了5层仓位，明天拭目以待了。如果保持强势，持股不动，走弱就卖出。2、雄安新区今天真龙【河北宣工】、【华夏幸福】都巨量开板，其中华夏幸福全天放出214亿的天量，高位杀入的都要吃面几周。其他真龙还没有松动，但是本周估计都要开板。现在的情况，在没有充分调整到位前，不贸然追进，告诉自己“之前每次幻想都是打脸，都是打脸，买进去都是亏损，都是亏损！”调整到位后，再多看看大V的意见，小心买入。昨天追入的【棕榈股份】，今天一直绿盘，下午有好转，但是最终还是跌在板上，类似的【数字政通】好多支今天都吃到了跌停，雄安的分化已经两极化。今天没有卖出【棕榈股份】的原因，是因为巨量的换手，同时这几日涨幅没有其他股票巨大，同时又认为它属于小真龙。实际呢？这就是幻想，幻想，明白了吧。下午没有卖出，多亏损了1千。3、更名股【成发科技】，昨天尾盘加仓，今天就打脸。看了其之前的走势，每一次像样的涨幅后面，是连续三天的调整，今天尾盘做到卖出一半。观察几天后，根据【ST金瑞】改名信息，伺机加仓。4、次新股昨天次新像样的涨了一下，今天次新又像样的跌回去了。不过之前买入的【美芝股份】，连续两日都涨幅不错。也侧面证明当时选股是对的，但是选择的时机不对，整个次新跌，它也不能独善其身。不过，整个次新没有调整到位，都不会再入手了，观察吧，否则就是打脸。5、高分红/白马股今天大盘股都哑火了。【中国建筑】、【伊利股份】、【老板电器】继续保持关注。6、利好消息【四方精创】，人真是有感情的动物是吧~~继续看着它。
1491991251000[,,,,,,]$中国建筑(SH601668)$ 走势这么猥琐，大家心态反应，年报1.05以上可能性很小了，Pe<10迎接年报也不错了。
1491990998000[,,,,,,]【最受关注组合调仓】  a. 组合或组合主理人粉丝大于 2000   1、   卖出华友钴业，买入安琪酵母  2、  卖出深圳机场 3、  买入北辰实业  4、  卖出镇海股份，买入东方中科  5、  卖出中国平安，买入科大智能、鱼跃医疗  【优质组合调仓】  a. 组合近一个月收益跑赢沪深 300 指数且为正收益   1、   卖出华夏幸福，买入歌尔股份  2、  买入河钢股份  3、  卖出华夏幸福，买入中国平安、福耀玻璃、华域汽车  4、  卖出青龙管业，买入东方中科  5、  卖出华夏幸福，买入贵州茅台、格力电器、中国建筑
1491990829000[,,,,,,][2017年4月12日记录]这两天很悲催，痛恨自己的优柔寡断。10日中国建筑从买入的9.52，在10.02左右全部抛出，看好清新环境、美晨科技，进入两股，清新成本23.08，美晨科技19.8左右。当日清新美晨冲高回落。第二日，也就是昨天11日均跌，今日两股大跌。而扔掉的中国建筑，11日大涨，今天即使跌，也收在10.24。教训1：一把梭哈。这一点一直是自己的一个很大的痛点。很多时候当日的买点都是最低，甚至在高位，常常当日亏损。解决办法：即使再看好，第一次买入严格控制在1/3，当日严格控制在1/2，禁止无脑全入，一把梭哈。    不在大涨时买，即使看好，也要在调整时再进。教训2：买点很糟糕，尤其是清新环境。两股尤其是清新环境今日在雄安带动下，大涨，雄安已有调整迹象，仍然盲目看好。解决办法：看趋势，认真做好功课。在连涨的情况下即使想进，也要小仓位进。清新大涨，已有调整需要，况且雄安也有调整需要。教训3：优柔寡断。昨日清新短期已不看好，盘前就想出掉，盘中也给了冲高的机会，当时出，还是盈利的。可惜自己猪油蒙了心，涨了就以为还会再涨，直至亏损收盘。今日清新也盘中反弹22.1，应该抓住机会出掉，那样损失也不那么大，可惜还是没下去手。出掉再进来，可以少亏损。解决办法：克服僵化思维，灵活机动，卖了很多时候还有机会以更低的价格买回来。总结：灵活机动，控制仓位，分仓买入。
1491989391000[,,,,,,]回复: 几个亿级别的大资金也苦啊，小票不能进的，进去出不来，所以一般这种级别的资金的蛰伏，一年出手不了几次的，他们需要巨大的流动性和大题材，你可以参照杭州大佬狂撸中国联通，上次被国家队75万手砸盘的中国建筑，还有这次雄安行情的几个大盘股。//:回复:换手股最好的就是青龙了。猪肉荣是不是疯了，3.8亿买华夏
1491986664000[,,,,,,]$中国建筑(SH601668)$ 中国建筑今晚公布年报，预计净利润305亿，我估计公司会隐藏一部分净利，以确保2017年快速增长
1491986031000[,,,,,,]【行业公司】    其实从大类上来讲，整个零售业就是服务业的分支之一，文字上的东西不用细究。从细节上讲，便利店节省了客户的三个成本：时间成本，决策成本，精力成本。什么意思呢？便利的覆盖面广，渗透率高，每个小区都有，这个是众所周知的。便利店小，就避免了宜家的“迷宫式”服务。“迷宫式”服务会增加他的销量，让你产生更多的不必要的冲动消费。而便利店14~40平米的平米，尽管有些布局也能让人产生冲动型消费，但概率上实际是大大降低了。那这部分少赚的钱，就会摊到理性消费产品上。还有，你仔细观察7-11或者全家，啤酒柜下必有食用袋装冰块，这个冰袋成本其实就1块钱不到，但卖到了6块一包，就是节省了你的精力成本。另外，便利店的SKU比超市少。超市的货架上，酱油有至少16种，矿泉水有8种，而便利店酱油就两种，矿泉水就低中高端三种，你的决策时间在他的安排之下就被大大缩短了，每个人滞留在便利店的时间也就被大大缩短了，也增加了店面的运营效率。但反过来说，对于SKU的控制，也使得便利店的供应链成本在“这一块上”实际上会比超市低一些。零售，批发按照定义，本身就是服务业的一种，我曾经那篇帖子对于便利店和零售业的区分，是强调便利店的服务属性，相较于普通零售，更强。怎么做好服务这点，7-11创始人的那套书里都有了，我就不赘述了。着重强调的一点是：服务业，不是人的直接服务叫服务，如果是这样的话，只有某保健业能叫服务业了。只要能切实做到替客户节省三个成本，就是做到了“服务”两个字……链接：    首先说说关于次新板块的判断海豚在之前发了2篇风险警示的文章后就清仓休息回家度假了一段时间，近一周雄安概念股吸金强大对整个次新板块影响甚大，除中持股份这样的多数次新都纷纷下跌破位，尤其是老次新,这其中也包括您说的梾木股份。不过好在今日次新开始明显回升。梾木主要做的是精密电子连接器及屏蔽罩，应用领域是手机和汽车，近些年来汽车占比逐年增长，且该快业务毛利较高。不过行业竞争激烈，业绩预期增速一般，但有两个好处，一是盘子小，40亿，媲美壳子股；二是曾被资金看上过，温州帮的票。目前位置在前期低位附近处于较安全的价位，但仍估值偏高，前三季每股收益4毛多，PE倍数仍超60倍，或许还有20%的下跌空间。可以关注下4月22日发布的年报。个人观点，仅供参考。链接：     去年一季度因为之前基数低，所以增速很快。随着监护仪恢复正常，血透渠道并购没大突破，宝莱特增速也维持正常25％附近，这也符合医疗行业特点。不过业绩预告还是透露不少信息，1，季度业绩趋于平稳，血透比例越来越重。2，收入环比增加，血透持续消耗特点。随着募集资金到位，对血透渠道整合力度会加快，预计增速也会加快。链接：   【投资方法与理财】    定投金额钱不多就一只就够了，建议宽基，如果选择行业会有个小问题，就是定投周期一般几年，万一你定投的时候你选择的行业表现很差，你会很难受，当然选的行业是当时热点你会很开心，宽基可以定投中证500。链接：     4.5日的踏空资金无处宣泄，在4.6日搞了一把中国建筑，中国建筑流通市值3000亿，一天成交90多亿，雄安概念里的大盘股华夏幸福当时市值800多亿，说明市场不缺钱，即使是华夏幸福那时开板了也能分分钟干到天上去，不用再担心盘子大炒不动，只要概念正宗就可以放手猛干；创业环保我在4.6日是考虑过它，它装死我就没动，4月7日却涨停了。整个环保板块都活了。结论就是环保被市场认可了，并且后面要严重注意先装死再雄起的雄安概念股。依据第一条，连续2天在开盘前就挂华夏幸福的一字板抢（可惜量放的少没抢到）和买入新兴铸管这种盘子略大的股。依据第二条，4.7日把我彻底洗出去的庞大集团在4.10日重新封板之前以及在板上被我二次上车。这个阶段如果你一定要参与这个行情，可以仔细对比上海自贸区那轮行情中外高桥等10支翻倍牛股的走势，去弱留强。最终能涨的高的，走势都是非常连贯，不猥琐，这也是宝硕今天被我干掉的原因。链接：     做多远期期指和增强指数基金两个不是可以全面比较的策略。有相似性，也有不一致性，这两个策略也可以合起来使用。远期期指门槛远高于增强指数基金，但是期指有个好处是保证金交易。期指缺点是：有升贴水。如果主力合约换月时候，出现升贴水会提高成本。如果贴水，期指是不错做多工具。升水，反过来。增强指数基金门槛低，更适合普通大众。甚至可以做空期指，再持有指数增强来博取指数基金的阿尔法收益。比如假设期现平价，你可以持有 喜欢的 同时做空对应数量沪深300指数期货IF，这样就可以获得纯α收益。300或是500这两个我也不好说，一般建议均衡，55或是64。链接：       现在一线城市调控加码，房地产基本被冻结，国土部和住建部联合发布了供给侧改革方案。短期内，一线城市的涨势估计被遏制，陷入缩量盘整阶段。即便政府不出手调控，在短短一年内房地产不同地段暴涨了30%-100%的幅度（核心区和环京带），任何资产都不可能持续这么涨下去。但城市圈的大逻辑不会变，城市化的动力不会变，参见我的一篇老文《房地产的白银时代：分化与变局》，北京雄安新区、上海的大嘉兴计划、深圳的粤港澳大湾区规划，无不雄心勃勃，完全印证了老毛的预见，一丝不差，如有神助。今天上午，理科强总理在中南海紫光阁会见林郑月娥时候，透露了“珠三角版”雄安新区的计划……链接：       首先，大学校园内的房产是什么产权？你的弄明白。一般大学校园内的房产很少是商品房，因为大学都是公立的事业单位，土地是政府划拨的教育用地，只能用于教育目的。虽然历史原因，很多学校自己盖了公房分给职工，但因为土地不是住宅用地使用权，没有大产权，也就是没有房产证的。只能说是一种使用权，也无法抵押融资。关于房价，价格波动无法预测，但目前看，一线城市的房价涨势大概率是被遏制住了。一是调控加码，限购限贷升级；二是住建部和国土部启动房地产供给侧改革：凡是库存6个月以下的，不仅要显著增加土地供应，还必须加快供地的节奏；6-12个月的，必须增加供地；18-36个月的，减少供地；36个月以上的，直接停止供地。例如北京市政府批准《北京市2017-2021年及2017年度住宅用地供应计划》：今后五年供应住宅用地6000公顷，以保障150万套住房建设需求。五年内全市安排的150万套住房，包括产权类住房100万套，租赁住房50万套。2017年全市计划供应住宅用地1200公顷，保障30万套住房建设需求，包括产权类住房25万套，租赁住房5万套……链接：==================================欢迎大家去问答广场发现更多精彩内容：问答广场：悬赏广场：==================================风险提示：雪球里任何用户或者嘉宾的发言，都有其特定立场，本贴为球友在雪球内发言的合集，投资决策需要建立在独立思考之上。       
1491985411000[,,,,,,]在雄安的这段日子里，创业板跌了2.6%。雄安牛，小票熊，甚至可以说是小票股灾。尤其是次新股和高送转，刚出现企稳的小阳线，次日大阴线反包。云意电气从高位下来，跌了40%。白银有色从高位下跌了32%。比较奇葩的有早上八个多点开的次新股元成股份，杀了跌停。相当于集合竞价接力的当日浮亏19%。其他很多次新股都跌了20多个点。相比雄安的牛市，真的惨烈。炒股重要的是学会站队，往赚钱方面站，规避掉那些有大亏钱效应的题材。什么技术形态，什么指标都是其次的。先吹一波：昨天的图文里，提到了几点内容。雄安题材整体指数大跌3%，出现了20多只跌停的个股。军工从冲高到1.6%到尾盘绿1.5%。日内来看，相当于从高点杀了3个点。不过军工整体缩量，后续机会还是有的。次新股指数又大跌了2个多点，高送转跌了1.7%。这二个题材现在处境很尴尬。一方面是下跌趋势，另外一方面板块内很难有共鸣。只有个别的个股有资金来拉抬，形成不了效应，这样就没办法以点带面，形成板块的拉升。而且无论是拉雄安还是军工还是一带一路亦或是粤港澳个股，对资金都是虹吸，间接的压制了次新股和高送转这些小票。次新股比昨天的成交量又下降了150个亿。承接盘太少。一带一路的走势现在我也看不清。这里面的走趋势的大票，要么第一根放量的阳线介入，要么等位置低吸。但是我们很多人都是第一根阳线不敢买，然后拉出了第二根阳线去高位接力。这里我说一个思路：放量的第一根阳线，是场外资金的介入，相当于是最敏锐的资金。次日的阳线可以用来出局，你次日去，是去接力，需要理解题材的持续性，而且失去了主动。这也是为什么，我们经常看到有一种走势就是：大阳——大阳——阴线。就是这个道理，第一批次进的人比较从容。粤港澳这个题材的话，昨天是太好的机会了。昨晚我看了一下财联社，下午二点多就出了消息了。午后注意力不集中，松懈的很。这个好机会没把握到。这个题材这样的超预期，我也没看对。不过也是因为盘面没有好的题材可以继续做多了。雄安高位，肯定要分化的今天。军工和带路肯定是冲高回落。次新股和高送转超跌反弹没高度，资金只能粤港澳这里出发了。而且和雄安有一个比价效应。你老大大涨40%，我小涨个20%不过分，相当于题材的补涨。总体来说，昨天说的大体符合剧情。但是今天，感觉行情有些无奈。看今日行情：上面也把今天的行情说了个大概。现在从雄安题材来看整个行情：1点半之前的雄安题材我是完全看的明的。因为我是知道无论雄安如何分化，资金肯定会回流。所以上半段的情况就是：资金顶粤港澳和拉高军工题材，这个节点雄安大分化，很多个股闷杀。然后粤港澳个股没得拉，军工回落的时候，资金开始回流雄安题材。这里面最具标杆意义的个股就是：河钢股份和华夏幸福。河钢股份：盘面很尴尬。主心骨是雄安。拉雄安吧，次新股和高送转杀的厉害，盘面情绪就会下降，造成指数的下跌。不拉雄安吧，实在没个股做，拉次新股和高送转又带不起人气，指数也起不来。所以午后的继续拉升军工（中航重机的回板）和粤港澳个股（梅雁吉祥、深物业、特力A等。梅雁吉祥和特力A也可以算是老妖股异动。），我是感觉实属无奈。华夏幸福：河钢股份和华夏幸福总共成交了350个亿，这二只股的成交量就已经超过高送转整个板块的成交量了。对资金的虹吸太厉害了。而且很揪心的地方就是，今天华夏幸福这么大的量，进去的人浮亏的居多。这就尴尬了。你把资金都吸引过去了，别的题材不好活，然后你自己还套人。这个就是让别人不好过，自己也不好过。。华夏幸福是今年以来最多成交量的个股了。我记得上一只成交量上百亿的是中国建筑，我们来对比一下：心疼集合竞价接盘的50亿资金。。市场的几处异常：午后二只银行股很异常在：中国平安、兴业银行。别的股这样砸可以理解。银行股这样砸没见过，很奇怪。然后尾盘，几家大银行又出来托指数。还有异常就是尾盘恒生指数拉升：异常很多，我也是丈二的和尚摸不着头脑。可能有什么消息，也可能没有，看不清楚。盘面很奇怪，对行情预判不了。总得来说，雄安杀一杀不是坏事。杀了才有机会让你思考如何介入。机会都是杀出来的。所以雄安后续的机会肯定大大的有。不仅是总龙头的机会，还有一些小弟的低吸机会，杀一杀才好单车变摩托。大家好好把握。我是长空哥，微信公众号：股票逻辑
1491982407000[,,,,,,]回复: 明天中国建筑年报，插红旗的干活//:回复:插
1491981920000[,,,,,,]$兴业银行(SH601166)$国家队割韭菜~ 【上证50尾盘急速下挫，中国平安、兴业银行大笔卖单现深V】上证50尾盘急速下挫，中国中铁、中国交建、中国铁建、中国建筑等纷纷下跌。中国平安出现大笔卖单，一度跌逾3%，目前跌2%。兴业银行盘中出现10万手大卖单，一度下跌逾7%，随后快速收回失地。
