1492752911000[,,,,,,]$广州发展(SH600098)$8.5有那么难吗
1484403015000[,,,,,,]$广州发展(SH600098)$楔形走势，股价上升，量下降。比较标准的形态，估计上去的概率不大
1484307059000[,,,,,,]广州发展  新黄浦 步森股份  泰尔股份 中电广通 百川股份 新乡化纤一批尚在高处乘凉的庄股。 类似形态的已有先行一步的珠海中富。15年还有带头大哥永艺股份。 结局都是逃不过的。
1484295806000[,,,,,,]$广州发展(SH600098)$量价背离 先撤半仓
1484191064000[,,,,,,]回复: 好公司的股票除非永远不卖，否则半路上车的收益绝对值比差的公司要差很多。像格力茅台那样的大牛股真正赚到大钱的人有几个？原因很简单，好公司很难有好价格，差公司就不一样了，而且差公司未来有变好的可能。所以等牛市来当然要先弄点目前差公司的廉价筹码。//:回复:未来五年肯定有牛市啦
1484135856000[,,,,,,]$广州发展(SH600098)$macd顶背离，股价却不断创新高，不敢再持有了，卖了。等指标趋向一致再考虑接回，不知道给不给机会？
1484123847000[,,,,,,]今天有股友提起了2013年的广州发展，历史总是这样的重演(广州发展当年做历史大底4元时庄托猖狂极致，而现在的章鱼已经比其更胜一筹！)！老夫2013年在广州发展（4元多的历史大底）的发文：好、坏，都会随时间消失，没有例外。上苍对时间的安排，绝对平等。是非天天有，不听自然无。佛说：你要静静等待，等待花开的时刻，等待风拂过花萼，以唤醒前世种下的梦。我于是虔诚地祈祷，愿你，能盛开最温柔的饱含沧桑的回眸一笑。在人生道路上，善良，是心灵的指南针，让我们永远不迷失方向。让我们从每个当下做起：发善心、讲善语、做善事......看起来是善待他人，其实是成全自己。
1484123165000[,,,,,,]回复: 广州发展2013年5元-2015年高点19.25，3倍多的空间，持股不到3年，稳稳的幸福！//:回复:从广州发展开始关注您老人家，现在跟着做做章鱼，支持下，希望能有缘多学点东西。。。
1484122613000[,,,,,,]回复: 还记得广州发展当年做历史大底4元时的情况吧？庄托猖狂极致，而现在的章鱼已经比其更胜一筹！//:回复:从广州发展开始关注您老人家，现在跟着做做章鱼，支持下，希望能有缘多学点东西。。。
1484120836000[,,,,,,]$平衡木(ZH022689)$@王子乔 2016总结虽然有些晚了，比去年没总结强吧。由于实盘与操作基本保持一致，2016年组合收益率为-7.23%，如果算上中那两签，收益为0。白忙活一年，最起码本金在。2015年在最高收益50%到2016年1月股灾回撤到50%，2016年上半年承受的心里压力的确很大的。 2016年1月股灾期间持股广州发展，亚夏股份，奇峰新材满仓下跌，最大回撤为32%，那时心情可想而知。后来将广州发展换成浙江永强(事后看，一年没涨的垃圾股)做差价，通过中原内配收获2个涨停。使得上半年浮亏13.2%。 2016年下半年考虑建自己的投资模型，即1+n。经半年实践效果还可以，就是逆势加仓太快，没有到补仓位就加了，碰到大盘趋势下跌，自己所选股跟跌，反而没有资金去加仓了。下半年最失误就是弘高创意，割肉占收益的5%。目前持有老白干38%，黄河旋风25%，深成指b 20%，证券b 15%。满仓跟大盘跌。    希望2017年能达到10%的收益，加油！
1484116355000[,,,,,,]$广州发展(SH600098)$说反了，真有只涨不跌的股。
1484116256000[,,,,,,]$广州发展(SH600098)$真有只跌不涨的股。
1483426441000[,,,,,,]$广州发展(SH600098)$慢慢的侵蚀熔断套牢筹码，慢慢的耗走底部建仓筹码。陪你走过2017。
1483407129000[,,,,,,]$广州发展(SH600098)$ 1月3日09:32入选#股价创新高个股#策略，当前股价11.31元，上破52周高点价格11.30元。关注此策略即可收到最新消息推送，请在 App 内点击查看 https://xueqiu.com/strategy/33
1483368312000[,,,,,,]1、2016年底主账户仓位：广州发展33%、保利地产22%、美的集团14%、国投电力11%、一汽富维8%、平安银行7%。还有H股ETF、中国平安若干。2016年年收益11%。2、广州发展，是今年做得比较耐心的一个，从2月下旬的大阴线开始买，一直买到8月份，期间不管怎么盘，就是不停的逢低买。7月中出掉部分美的后又全部买入，仓位最高时超过40%，12月初为了降仓位出掉了部分。今年大部分的收益来自于广州发展，总结赚钱的经验就是慢慢买、低位才买、然后耐心等待。3、美的集团，今年好像成功做了一个T，7月份卖出后买了广州发展，12月初卖出发展月中买回美的，但只买回7月份卖出的一半，另一半还留在广州继续发展。短期看起来好像是成功做了个T，但长期来看是对是错还不知道，原因在于有保利这个反面教材。4、保利地产，不同于前面的两个在股灾前逃了顶，保利是15年两轮股灾在7月份被迫斩仓、然后在8月再买回来的，熬了一年多现在仍然在盈亏间来回波动。保利最早是14年5月左右买入的，但买得不多，并且一路涨一路追 。期间想“高抛低吸”却丢了筹码然后高位追回来，再然后碰上了股灾就成了现在这个样子。总结亏钱的教训就是低位买得不多，然后股价上涨后一路追入，包括股灾斩仓后的操作仍然是这样，8月底开始买入，前面一直在9块以下买，但12月底股价涨了之后在11块左右又追入了两单，真是死性不改。都这样了，死猪不怕开心烫继续熬吧。5、一汽富维也是股灾后斩仓留下的小仓位，没赚什么钱；国投电力和平安银行也是股灾后斩仓、16年底再慢慢买回来的，其中有两单也是追来的，这个老毛病就是改不了，得治！！2016年最值得记住的就是：好股票也要慢慢买、低位才买，要彻底纠正以前那种“好股票价格高点也没关系”的想法。2017年还是守着上面这些股票，广州发展继续涨就再出掉10%的仓位，转到国投电力、美的集团、平安银行这里，1月底到位的资金计划先买国投电力。关于打新股，16年主账户一共中了6签，主要都是大票涨得不多，总共应该10万块的收益。但另外三个20万左右市值的账户，一整年居然都一签不中，真是奇了怪了，原来还想再借多几个身份证开户打新的，因为这个原因迟迟不动。17年小账户资金不变，除了H股B之外，其它的争取严格按成长量化策略无脑操作；另一个投机账户里满仓的H股B、深成指B继续不动再捂一年半载。   
1483105892000[,,,,,,]$广州发展(SH600098)$ 老鸭头算不算？
1483082729000[,,,,,,]$广州发展(SH600098)$ 尾盘玩上瘾了
1482994003000[,,,,,,]$广州发展(SH600098)$是不是有点早了
1482972469000[,,,,,,]$广州发展(SH600098)$ 随时狗头铡 
1482920233000[,,,,,,]$广州发展(SH600098)$今天上午10.84半仓进来，不知最后这两天会咋样@山中云
1482884391000[,,,,,,]$广州发展(SH600098)$ 起飞喽！
1482822103000[,,,,,,]$广州发展(SH600098)$尾盘家圣诞节放假出去玩了，休息了几天，今天又开工了
1482735639000[,,,,,,]$广州发展(SH600098)$欠大盘300点，慢慢耗着吧。
1482548315000[,,,,,,]我2001年入市 ，刚入市喜欢找报纸看基本面分析，先后买过上海医药、同仁堂、广州控股、佛山照明、青岛海尔、春兰股份、新兴铸管等这些股票，假如作为组合长期持有大概率还是挣钱的，但是这种方式太落后，因为仅仅反映的是过去的不完整信息。然后学技术分析，研究技术指标，走火入魔想练成绝世武功，尤其看只铁短线英雄，追涨停板更是作死的节奏。频繁短线操作还交了高昂手续费，当时佣金千分之三，印花税后来才改为单项征收的。每学一样技术分析都觉得茅塞顿开却在错误的路上越走越远（窃以为单纯技术分析只能寻找短线买卖点，技术指标只有往过去看才是完全有效的，满足充分非必要条件，技术分析就好像是算命，过去说的头头是道，未来完全靠蒙）。一共投入三万多元，追涨杀跌到05年剩了几千元亏损70%，都不敢看账户，现在还留下下跌不看账户的习惯，一度感到人生特别失败。             2005年在书店买了本盗版的彼得林奇的成功投资，后来又学习了战胜华尔街，这位传奇人物虽然1991年已经功成身退，但他的他的思想在当时中国还是比较先进的，(07年许多基金经理年报中还在引用他的话)，以后几年每年都读一两次，感觉好像找到了一个宝藏每次都有新收获（可惜受到学识限制没有学精学透，错过许多大牛股）。
1482472932000[,,,,,,]$广州发展(SH600098)$逆势搞，会玩！
1482471101000[,,,,,,]前几天清仓，昨天低价位接回来了一点广州发展和中天能源，早盘高位出掉广发，中天过于客观，没有操作。真是怕什么来什么，大A股下跌的规律从来都这么准，果然又是一个圣诞劫。好在下周一贵广上市，中签的1000股也算能在节前加一两个素菜了 
1482389138000[,,,,,,]$广州发展(SH600098)$ 今天10.78再次进入，目标价依然11.15左右出。节前谨慎为主，过了圣诞劫再说。
1482383991000[,,,,,,]$广州发展(SH600098)$ 广州发展这种低估值股，终于是被市场资金发现了
1482297535000[,,,,,,]$广州发展(SH600098)$指标股alpha选出
1482287183000[,,,,,,]$广州发展(SH600098)$ 早盘11.15卖出，符合昨日目标价，刚才的下拉和昨天有点像，可能会往下调整了，落袋为安
1482249401000[,,,,,,]$广州发展(SH600098)$ 混沌技术流：哇！刚一眼看到她！美！绝佳买入位，止损价10.29.在这么弱的大盘环境下，竟然有这样充满诱惑力的票子。
1482214073000[,,,,,,]$广州发展(SH600098)$ 今天10.61又进来了，年前本来不打算再交易，目标11.1就出。
1482205258000[,,,,,,]$广州发展(SH600098)$好深的V，性感
1482201949000[,,,,,,]$广州发展(SH600098)$比膀子，默默的观察谁是老大
1482197687000[,,,,,,]$广州发展(SH600098)$开盘这么急，不像好事啊
1482130835000[,,,,,,]$广州发展(SH600098)$静静的看你玩弄我，何时带我飞？
1482129874000[,,,,,,]据12月16日数据统计，沪深两市融资融券余额9522.57亿元，其中融资余额9485.72亿元，融券余额36.85亿元。其中，融资净买入金额前5个股分别为：农业银行、民生银行、轻纺城、广田集团、广州发展；融券净卖出量前5个股分别为：中国石化、海通证券、华泰证券、中国铁建、中联重科。
1482119343000[,,,,,,]中央经济工作会议在上周五结束，这个会议对做我们投资的人来讲，有五条对于我们投资者来讲是比较重要的，这几个重点改革领域的投资机会，你知道吗？不知道？没关系，有升已为大家整理出来。（图片来源于网络）货币政策将稳健中性，将坚持积极的财政政策，还是个稳字。稳中求进，是主基调。资金面可能相对不支持市场的强势上涨，那么明年的行情相对会比较稳定。供给侧改革进入实质性阶段，防范金融风险。近期全球各种黑天鹅频出，防范有利于市场走出稳定的慢牛行情。房地产政策变调，抑制房地产泡沫为主基调。如果炒房者难以获利，那么他们的资金，自然会在其他地方寻找机会，股票市场会是重要的一个选择。着重进行混合所有制改革、农业供给侧改革。混合所有制改革是国企改革的重要突破口，在电力、石油、天然气、铁路、民航、电信、军工等领域迈出实质性步伐。同时首次在如此高规格的会议上提出农业供给侧改革。根据政策导向，有升梳理出本周的主流发力板块及个股如下：（图片来源于网络）一、混合所有制改革：中国石油（601857）、中国石化（600028）、上海石化（600688）、广聚能源（000096）、泰山石油（000554）、ST济柴、大庆华科（000985）、石化机械（000852）、石化油服（600871）、中海油服（601808）、四川美丰（000731）、ST天利、山东海化（000822）等；陕天然气（002267）、长春燃气（600333）、深圳燃气（601139）、深圳能源（000027）、广州发展（600098）、申能股份（600642）、广安爱众（600979）；1)铁路运输：广深铁路、大秦铁路、铁龙物流。2)高铁： 、中铁二局（600528）、中国铁建（601186）、、太原重工（600169）、 等。1)上海国改:兰生股份（600826）、申达股份（600626）。2)深圳国改：沙河股份（000014）、通产丽星（002243）（图片来源于网络）二、农业供给侧改革：隆平高科(000998)、登海种业(002041)、敦煌种业（600354）、神农基因(300189)；北大荒(600598)、海南橡胶(601118)、亚盛集团(600108);正邦科技(002157)、雏鹰农牧(002477)、圣农发展(002299)新希望(000876)、海大集团(002311)、唐人神(002567)、瑞普生物(300119)我们都知道，A股就是政策性市场，政策的方向会引导市场的资金走势，这几个重点改革领域的投资机会，有升已为大家一一列举出来。本文为稳中有升（微信订阅号：wzys668）原创文章，欢迎关注，文中涉及股票、观点不做任何推荐，只做知识交流，仅供参考。如需转载，请注明出处。
1481954908000[,,,,,,]中共中央总书记、国家主席、中央军委主席习近平，中共中央政治局常委李克强、张德江、俞正声、刘云山、王岐山、张高丽出席会议。习近平在会上发表重要讲话，分析当前国内国际经济形势，总结2016年经济工作，阐明经济工作指导思想，部署2017年经济工作。李克强在讲话中阐述了明年宏观经济政策取向，对明年经济工作作出具体部署，并作总结讲话。他指出2017年是实施“十三五”规划的重要一年，是供给侧结构性改革的深化之年。要继续实施积极的财政政策和稳健的货币政策。我们要记住这次会议的一个中心和几个重要点：2015年是国企改革政策制定出台年，2016年是政策落实年，2017年将是国企改革见效年。  ：国企改革政策制定出台年，伴随着《关于深化国有企业改革的指导意见》和其配套文件《关于国有企业发展混合所有制经济的意见》的相继公布，高屋建瓴的制定了关于混改的实施路径，开展不同领域混合所有制改革试点示范，结合电力、石油、天然气、铁路、民航、电信、军工等领域改革，开展放开竞争性业务、推进混合所有制改革试点示范。在基础设施和公共服务领域选择有代表性的政府投融资项目，开展多种形式的政府和社会资本合作试点，形成可复制、可推广的模式和经验。  ：国企改革总体方案出台以来，完善配套文件细则、开展改革试点的第一年。2016中央经济工作会议提出七大领域混改迈出实质性步伐，混合所有制改革是国企改革的重要突破口，按照完善治理、强化激励、突出主业、提高效率的要求，在电力、石油、天然气、铁路、民航、电信、军工等领域迈出实质性步伐。  ：2017年将是国企改革见效年。今年虽然在供应侧改革之下，周期性行业和薄弱行业都在去库存阶段，但总体见效甚微，业绩也不容乐观。而2017年将是国企改革见效年，通过持续了一年多的供应侧改革，很多行业会渐渐复苏，进入上新增产能和补库存阶段，加上国企改革企业重组和混合所有制双向并进，明年也许就能初见成效。1  ）“房子是用来住的、不是用来炒的”的定位。明年会综合运用金融、土地、财税、投资、立法等手段，加快研究建立符合国情、适应市场规律的基础性制度和长效机制，既抑制房地产泡沫，又防止大起大落。要在宏观上管住货币，微观信贷政策要支持合理自住购房，严格限制信贷流向投资投机性购房。这是告诉资本房子你们不要去炒了，去别的地方吧，就差说来股市了。混改国企是明年的重点方向。做股票要面面俱到，要关注方方面面的东西。政策新闻你更不能落下，否则你就可能会把方向看错，问题会很严重的。在12月16日结束的中央经济工作会议强调，混合所有制改革是国企改革的重要突破口，并对2017年的国企改革工作重点进行了部署。要求按照完善治理、强化激励、突出主业、提高效率的要求，在电力、石油、天然气、铁路、民航、电信、军工等领域迈出实质性步伐。2014年7月，国资委就进行了首批国企改革试点工作，中粮集团、中国医药集团总公司等6家央企分别就国有资本投资公司、混合所有制、董事会行权以及派驻纪检组四项工作进行试点；2016年2月，国资委和财政部共同宣布将诚通集团、中国国新控股两家国有资本运营公司试点。国资委明确表示，电力、石油、天然气、铁路、民航、电信、军工等领域是国有资本相对集中的领域，在这些领域开展混合所有制改革试点示范，具有重要意义。2016年中旬，国资委已经在中粮集团和国投公司进行了国有资本投资运营公司试点工作，并在24个省级国资委改组组建了50家国有资本投资、运营公司。2016年7月，国资委宣布在神华集团、宝钢、武钢、中国五矿、招商局集团、中交集团和保利集团等7家企业开展开展国有资本投资公司试点工作。2016年9月，发改委召开专题会研究部署国企混改试点的相关工作，将东航集团、联通集团、南方电网、哈电集团、中国核建、中国船舶等中央企业纳入七大领域中的试点企业。2016年10月，曝出的混改企业名单包括：东航集团、联通集团、南方电网、哈电集团、中国核建、中国船舶。东航是民航、联通是电信，南方电网、哈电集团是电力，中国船舶是军工。前一阶段的国企改革存在指向不明确的问题，始终处在规划、试点阶段，而没有进入“施工”阶段。这两年一直在试点，已经试点了两年半，但是试点的结果也不知道，方向不明确，谁也不敢行动。这次会议既是对前期试点的肯定，也是对于后期实施的指导。因为“突破口”意味着混合所有制改革将优先于国企改革的其他方面，率先拿出实际行动，重点完成国有资本与民间资本、社会资本、外资资本的混合。但“突破口”并不意味着混合所有制改革会在明年大面积铺开。明年的国企改革还是以试点的形式推进，成熟一家推进一家，整体基调还是‘稳’字当头，大面积铺开的基调不现实。10月份爆出的6家央企不涉及的领域是：石油、天然气、铁路，意味着这三大领域迎来新的突破，下周重点可以关注这三大领域的国企！先简单统计一下这三大行业的国企：  ：中国石油（601857）、中国石化（600028）、上海石化（600688）、广聚能源（000096）、泰山石油（000554）、大庆华科（000985）、石化机械（000852）、石化油服（600871）、中海油服（601808）、四川美丰（000731）、ST天利、山东海化（000822）等；  ：陕天然气（002267）、长春燃气（600333）、深圳燃气（601139）、深圳能源（000027）、广州发展（600098）、申能股份（600642）、广安爱众（600979）；  ：广深铁路（601333）、大秦铁路（601666）、铁龙物流、中国中铁（601390）、中铁二局（600528）、中国铁建（601186）、中国中车（601766）、太原重工（600169）、晋西车轴（600495）等。另外还有一些央企集团和旗下上市公司，如下图所示 ：因为七大混改领域里面，大多数领域的混改会主要集中在子公司或业务板块层面，这个里面国资权重较大，所以展开比较复杂。只有电信领域的联通集团，可以在其行业里面找到一个同等体量的企业和它进行混改，所以市场预期很高。目前联通集团的混改方案虽然尚未出台，但是在资本市场已经获得追捧，股价短期上涨接近80%，这么大的盘子股票尤其不易了。近日有消息称，中国石化正在考虑将其销售业务明年在香港进行IPO，如果这一计划成行，其在销售业务板块的混改也将更进一步，那后期中石化的混改进程也会被市场瞎想，出现投资机会。油气改革放开垄断性领域的竞争性业务、实行全产业链的公平准入。随着国企混合所有制改革、消除同业竞争等方案措施的出台，这将成为油气改革行情的强催化剂。油气改革叠加原油价格上涨与能源化工景气度周期，三大因素共振，将推动能源化工板块继续上行。最近对于军工行业和海工航母形成利好的因素主要包括1）近日，中共中央总书记、国家主席、中央军委主席、中央军委深化国防和军队改革领导小组组长习近平出席中央军委军队规模结构和力量编成改革工作会议并发表重要讲话，强调扎实推进军队规模结构和力量编成改革；2）上任的美国总统特朗普对加大军工投入的不确定性，对世界各国军工行业发展产生一定影响，任命军工巨头CEO入幕府官僚，加大了市场瞎想。3）我国首艘国产001A型航母建造进度备受各界关注；因为特朗普在当选前曾承诺，若当选会将海军舰艇规模扩大至350艘，这样对于A股军工板块和海工航母绝对是中长期的战略份额提高。4）军工板块整体处于今年底部区域，调整空间有限，对市场避险资金具有很大吸引力。投资中粮系，根据盘面资金流和消息动态，主要逻辑有几个 ：1）农业是第一产业，必然放在混改第一批。2）年底物价上涨压力大，通胀CPI上升惠及农业类上市公司。3）过了年就是中央农业经济会议，三农作为一号文件概率极大。4）多家机构和券商开始狂推农林牧渔板块，大家可以看平台内容。5）中粮旗下公司较少，混改或者合并的话，二级市场三家公司选中概率大。"一号文件"预计将于明年1月下旬发布。从以往经验来看，农业板块极大可能会提前在12月走出一波行情。从政治局会议传递的信息看，2017年中央一号文件或与农业供给侧改革有关，除了以上中粮系的上市公司，另外建议关注一体化服务供应商的种业公司、具备丰富土地储备资源的农业公司、以及农药化肥板块。这次会议定调之后，很多已经整装待发的央企国企，马上就会进入实质性的操作阶段。因为之前一些央企和地方国企在企业层面自主实践国企改革，尤其是混合所有制改革跃跃欲试，形成了一些“混改”方案或整体战略，就在等昨晚的政策出台，才敢在2017年大刀阔斧干！本文转自：
1481895139000[,,,,,,]$广州发展(SH600098)$ 昨天10.24买进20000股，今天10.55就出了，虽然可能随时被洗出去，不过在年底不稳定的时期也只能一直高抛低吸了
1481887243000[,,,,,,]美联储加息、人民币大贬、国债期货跌停、险资入市被限……一大波的利空之下各大指数纷纷开启跳水模式，上证指数一周累计跌幅超过3%，创业板指一度跌超5%。不过，风雨过后是彩虹，周五国债期货大幅走强，股市赚钱效应企稳回升，涨停板数量创出一个多月来新高。本周A股经受多起风险事件冲击谢天谢地，这两天大盘终于跌了，不然个股得跌个没完了。本周最后一个交易日，两市涨停板多达55只，上次有这么多涨停板还要追溯到11月11日。不过，尽管今天赚钱效应企稳回升，但是本周市场在多起风险事件冲击之下，一度恍如汪洋大海中的一叶扁舟，随时都要沉没一般。 如果说周初险资入市被限制只是大餐前一个开胃小菜的话，周四美联储加息人民币大幅贬值国债期货跌停绝对可以称得上是历史性大事件。一大波利空之下各大指数纷纷开启跳水模式，，更是多方所期待的多赢好局。从一周行业资金流向看，由于指数全周呈现大幅调整态势，本周没有一个行业出现主力资金净流入。其中流出较少的行业有休闲服务（-6.8亿元）、农林牧渔（-16.66亿元）、纺织服装（-21.25亿元）。流出较多的有计算机、有色金属、机械设备等行业，均超过90亿元。一周资金表现情况 个股同样是跌多涨少，全周股价上涨个股仅有557只，下跌个股多达2301只。剔除次新股后，此外，三江购物、上海科技、三钢闽光等 11股一周累计涨幅超过20%。跌幅较大的个股中，神宇股份、丝路视觉、宏达新材、超华科技等个股一周累计跌幅超过20%，柳钢股份、明家联合、广晟有色等逾百股跌超10%。 ，一周股价上涨2.53%；泰尔股份一周主力资金净流入3.43亿元，股价上涨4.84%；渝开发一周主力资金净流入3.37亿元，股价大涨18.4%。此外，海通证券、金科股份、中南建设、中粮生化等个股一周主力资金净流入均超过2亿元。主力资金大幅流出大盘蓝筹股，中国建筑、中国中车等一周主力资金流出均超过10亿元。此外，山东黄金、中国重工、中国联通、格力电器、中信证券等流出超过8亿元。 值得一提的是，主力资金持续5个交易日净流入奥瑞德、泰尔股份、渝开发等25只股票中。除了前述的3只股票吸金均超过3亿元外，海通证券、北京银行、广州发展、天润曲轴、神舟长城、新城控股等一周主力资金净流入均超过亿元。数据宝（微信ID：shujubao2015），证券时报财经传媒集团大数据旗舰，中国股市大数据新媒体第一品牌，原创作品享有著作权，转载请保留含文章出处、水印在内的全部版权标识。欲获得更多数据查询，请关注微信公众号。
1481871517000[,,,,,,]$广州发展(SH600098)$今天换了一个玩法，拉平台。
1481868338000[,,,,,,]$广州发展(SH600098)$完全控盘
1481852202000[,,,,,,]$广州发展(SH600098)$ 10.60卖出 $广州发展(SH600098)$
1481816970000[,,,,,,][回归美的]7月中旬从美的出走到广州发展的部队，今天有一半又杀回来了。早上开电脑迟了，低位没买到，上午涨的时候想追但担心一追就套忍住了，挂着单慢慢等后来下午成交了。看这收盘的架势，估计要被套一段时间  
1481787311000[,,,,,,]$广州发展(SH600098)$天天尾市拉点屎，这是什么招?
1481779662000[,,,,,,]$广州发展(SH600098)$ 10.35 $广州发展(SH600098)$
1481769382000[,,,,,,]$广州发展(SH600098)$ 10.39买入 $广州发展(SH600098)$
1481699626000[,,,,,,][广州发展]收盘前终于还是说服自己出了点广州发展，关键是美的跌了点下来，明天看28块以下能不能把美的再补一些回来。今天出的不管对错，反正原来27块出美的8块入广发，现在广发涨了30%后出了再回到只涨了5%的美的，就是赚了广州发展的尾盘真是强！刚卖完就下跌眼看着就奔10.4以下去了，收盘硬生生还是拉回来了  
1481685715000[,,,,,,]$广州发展(SH600098)$所有股跳水恐慌时你如此强硬，大盘上升周期到时你还不蔫掉？
1481612505000[,,,,,,]$广州发展(SH600098)$每天的收盘价随你控制了，控价的好手
1481608251000[,,,,,,]$广州发展(SH600098)$ 10.45卖出 $广州发展(SH600098)$
1481558545000[,,,,,,]今天又有点股灾的样子了，上证深证创业板指全线暴跌，创业板更是跌超过5%。大跌不是问题，问题是创业板、深成指的下跌好像才刚开始！怎么办？？去年6月中旬的时候也是这样，当时的想法是：创业板估值那么高，跌是正常的，以上证50为代表的蓝筹股估值那么低，不会也跟着跌的！可最后的事实是，创业板的暴跌把低估值的蓝筹带到沟里去了。今天呢？后面的市场会怎么样？情况跟去年是一样的，创业板一众小票估值仍然很高，低市盈率低市净率的蓝筹股仍然低估。所不同是：从估值角度看，小票泡沫没有去年那么高了，但蓝筹估值也比去年更低了；从政策角度看，去年时党报说4000点才是牛市起步，现在是需要慢牛以发行大量的IPO；从经济角度看，去年说经济会是L型，现在是各项经济指标都有好转的苗头了。去年手持大量低估蓝筹，想着估值很低不担心往下走所以持股不动，后来被小票带到沟里去。现在怎么办呢？不走吧很可能又象去年一样被带沟里去，走吧又不舍得满仓的低估筹码，好纠结。目前持仓，前三大重仓依次是广州发展、保利地产、美的集团，后面是国投电力、平安银行、中国平安，还有一汽富维、H股ETF。凭直觉，目前最理想的操作是，把近40%仓位的广州发展出掉一半，然后加仓国投和平银，或者美的。当时美的是27块出的，然后8块以下全部加仓到广州发展的导致的高仓位，现在广发已经涨了30%了，美的只比当时涨不到10%，国投和平银更是涨不到5%，拔鲜花种小草，资金往估值更低的方向流动，是最踏实的。最不济的想法是，把广发减了加回到原来的美的，也多赚了20%啊。可一直说服不了自己动手，是因为觉得广州发展的上涨还没到自己心目中的价位。一再的纠结最终还是要有个方案！权衡再三后还是偏向于持股不动。如果真的象去年一样又要被带沟里去，也没关系，年底马上就到，大笔的现金马上又要来了，到时新到资金加到国股、平银、美的这里，必要时还可以再融资，TMD，WHO怕WHO啊，主账户就这样定了。但去年底新开的小账户就要反省一下了，富邦股份从24块一直拿到38块，35块以上不出掉确实不应该，小账户强调的就是快进快出赚了就跑，何况这个票也不按策略轮动剩在手里的，不执行轮动策略就不对了，跌了这么多还不跑就更不对了，该反省！决定明后天反弹一点甚至不反弹也出掉，当个教训。   
1481525607000[,,,,,,]$广州发展(SH600098)$ 10.39买入 $广州发展(SH600098)$
1481509498000[,,,,,,]$广州发展(SH600098)$真是强的让人毫无兴趣。都没兴趣看你了，兄弟。
1481503382000[,,,,,,]盘前资讯简析1、险资整肃风暴升级举牌股跌跌不休 前海恒大谁更受伤据上证报记者了解，目前恒大人寿自身没有直接投资股票的资格，只能委托其他机构投资。也就是说，此次恒大人寿委托股票投资业务被暂停，即意味着该公司股票投资业务被暂停。不过，据知情人士透露，这也并不代表恒大人寿的股票投资业务完全被叫停，“此次吃罚单后，恒大人寿确实不能再买了，但卖出并不受限制。”简析：鉴于保险资金对市场稳健运行的重要性及其自身健康发展的必要性，从严监管对市场和保险资金是双赢。而随着各项制度安排陆续到位，野蛮收购、强势重组上市公司等“激进举措”会得到有力遏制和规范，保险资金在国内资本市场扮演稳定器的角色会越发突出。2、政治局会议不到600字描述明年经济工作：拧水分对于2017年的经济工作，9日召开的中共中央政治局会议提出，大力振兴实体经济，培育壮大新动能。在不少专家看来，会议已释放出了提振产业发展的重要信号。按照惯例，每年研究分析来年经济工作的最后一次政治局会议尤为关键，扮演着为即将召开的中央经济工作会议定基调的重要角色，后者则是明年经济工作的总指挥。除此之外，中央农村工作会议也将在12月份召开，部署来年的三农工作，同时也是对2017年“中央一号文件”的预热。另有知情人士透露，五年一次的中央金融工作会议也可能在今年底或明年初召开。简析：大力发展实体经济一直是中央的政策，但过去几年由于需求疲软、产能过剩，实体经济投资回报率下降，造成经济出现“脱实向虚”的倾向，并引发资产价格泡沫和潜在系统性金融风险。因此政府明年推行结构性改革的目的也是希望形成新的经济增长点，引导流动性进入实体经济。3、2017年央行货币政策猜想：加息降准政策组合靠谱吗国家统计局12月9日公布数据显示，11月CPI同比增长2.3%，PPI同比增长3.3%，两者都超预期，特别是PPI预期为2.3%，前值则只有1.2%。2016年，中国人民银行（央行）货币政策经历了从“稳增长”到“去杠杆、防风险”的重心变化。新的一年，央行货币货币政策是否会转向、是“松”还是“紧”？简析：“降准”释放出的信号太强，很可能被市场解读为对冲外汇储备和资本外流，可能性不大。为了平衡通胀的压力，降低资产泡沫，央行有可能会加息。4、国资委定调明年国企改革重点 迎改革建设年按照国资委的部署，去年是国企改革政策出台年，今年是改革落地年，即将到来的2017年将成为国企改革建设年。记者了解到，从去年党中央、国务院颁布实施《关于深化国有企业改革的指导意见》以来，今年又先后有7个专项配套文件出台，国企改革“1+N”文件体系已经完成。同时，国资委还会同有关部门出台了36个配套文件。“1+N”文件体系及相关细则共同形成了国企改革的设计图、施工图。简析：国企改革红利正在逐步释放，数据显示，央企已经扭转连续18个月收入下滑的局面，1-10月，中央企业克服大宗商品价格低位波动、政策性让利因素较多等不利影响，累计实现营业收入18.7万亿元，同比增长1.2%，累计实现利润总额10231.4亿元，同比增长0.5%，初步实现了效益恢复性增长的目标。国企改革会渐行渐近。5、能源大转型高层论坛在京召开2016年能源大转型高层论坛于12月11日在北京召开，国家能源局石油天然气司、国务院发展研究中心资源与环境政策研究所和国土资源部油气资源战略研究中心共同发布《中国天然气发展报告(2016)》白皮书称，未来我国天然气市场需求潜力大，天然气资源供应持续增长。预计到2020年，我国天然气供应能力将达到3600亿立方米以上。到2030年中国天然气供应能力达6000亿立方米以上。简析：随着中国绿色低碳能源战略的持续推进，发展清洁低碳能源将成为优化能源结构的重要途径，充分利用国内外天然气资源，大幅度提升天然气消费比重，把天然气作为主体能源将是我国能源转型发展的必然为推动能源转型，天然气将在我国扮演着越来越重要角色，未来天然气将迎来快速的发展。相关受益股有：长春燃气、深圳燃气、重庆燃气、久立特材、广州发展等。
